RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,107270,Smith,575,France,Male,46,9,14512.693145279049,3,0,1,194493.8010566327,1
2,100860,Miller,715,France,Female,42,4,88412.26421009234,4,0,0,88961.16975863163,0
3,105390,Smith,788,Spain,Female,23,8,85935.6220683318,4,1,1,153296.7953241698,0
4,105191,Smith,670,France,Male,32,0,67493.70995376458,3,1,1,147917.71808086673,0
5,105734,Smith,738,Germany,Male,47,8,92565.9798729169,1,0,1,87276.78254844739,0
6,106265,Miller,658,Germany,Male,49,9,370157.2345764797,2,0,1,97018.10758066618,1
7,100466,Garcia,662,France,Female,27,4,48333.57743927432,3,1,1,128558.1165021231,0
8,104426,Miller,586,France,Male,53,1,54952.25456266686,4,0,0,44384.05394276789,1
9,105578,Garcia,842,Germany,Male,31,5,32024.37722498969,3,1,1,107033.45090925318,0
10,108322,Miller,724,Germany,Female,43,0,20389.8344665316,3,1,0,74845.70496252665,0
11,101685,Miller,702,Spain,Female,41,6,34134.61735010745,2,1,0,27447.2869518833,0
12,100769,Johnson,727,Spain,Male,25,6,23906.726453839285,2,1,1,49358.506693544645,0
13,106949,Garcia,582,France,Male,34,9,56646.01110635821,3,1,1,106072.83021070836,0
14,102433,Johnson,743,Germany,Male,18,7,26567.734751478107,3,0,0,182593.16298272062,0
15,105311,Jones,805,France,Male,33,0,72846.04586305047,2,1,1,173737.47934234396,0
16,105051,Johnson,511,Germany,Female,57,1,33730.67766289045,2,0,0,184483.6355492694,1
17,106420,Smith,704,France,Male,18,10,55282.575349841565,1,1,1,57641.46785119754,0
18,101184,Williams,656,Germany,Female,25,0,13841.018209734382,1,0,1,167359.95976923237,0
19,104555,Williams,598,Germany,Female,32,7,17906.909729097133,1,1,1,76296.3426952724,0
20,103385,Brown,540,Germany,Male,18,7,95221.94268562189,1,1,1,192884.01945669187,0
21,106396,Brown,755,Spain,Female,18,2,83315.89992530235,3,0,1,60675.92994011203,0
22,108666,Davis,670,France,Male,69,9,18779.74459653374,3,0,0,74088.35646516265,1
23,109274,Johnson,629,France,Female,47,1,34928.72687285438,1,0,0,13318.21055645966,1
24,102558,Miller,704,France,Male,53,8,25036.02286662165,3,1,0,185388.305324824,0
25,107849,Miller,637,Spain,Female,44,4,159680.26006879614,2,1,1,127229.6107017518,0
26,102047,Williams,579,France,Female,47,8,45383.30790641425,2,0,1,70397.78228789379,1
27,102747,Smith,662,France,Male,34,1,52081.41752344654,1,0,0,38707.08654925876,0
28,109167,Garcia,647,Spain,Female,54,5,109331.49649442114,3,0,1,133240.70752682068,1
29,109998,Smith,472,Spain,Female,60,10,39385.36960806986,2,1,1,29656.279874911957,1
30,100189,Davis,587,Spain,Female,28,0,47450.39224664124,3,1,1,38936.48132683603,0
31,102734,Smith,523,France,Female,35,6,159899.9422838751,2,1,0,106940.74100409177,0
32,103005,Johnson,484,Spain,Female,30,3,158246.08256166513,3,0,0,36480.02328229113,0
33,104658,Johnson,696,Germany,Female,37,6,92778.22963641695,2,0,0,28690.547453110365,0
34,101899,Jones,583,Germany,Female,50,8,81865.94947734424,2,0,0,142313.18851545622,0
35,107734,Davis,754,France,Female,36,0,19968.28033742055,2,1,1,98468.81979210462,0
36,101267,Smith,467,Germany,Female,18,0,64090.21909875929,1,0,1,20941.00438502938,0
37,101528,Miller,620,France,Male,53,10,32069.82629203781,3,0,1,20626.94919524001,1
38,103556,Miller,588,France,Female,27,6,130841.25709317523,1,1,1,192541.74181016334,0
39,103890,Davis,492,Germany,Female,45,9,98869.96467321177,3,0,0,21786.99928335818,1
40,108838,Smith,650,France,Male,46,10,47428.23315903028,2,1,0,95319.56865015748,0
41,105393,Johnson,500,France,Female,32,1,76592.11595989244,4,0,0,84928.73659783512,0
42,108792,Johnson,672,France,Female,25,7,54658.27792016723,1,1,1,106344.77373270334,0
43,108433,Jones,722,Spain,Male,31,3,15833.517267873724,2,1,1,177464.91075895022,0
44,107513,Jones,676,France,Female,62,6,151763.77298337998,1,1,1,138947.32160030204,1
45,102612,Brown,689,Spain,Male,24,9,228524.529958714,4,1,1,158225.54875606773,0
46,107041,Davis,753,Germany,Male,22,1,266422.17220642127,3,1,0,92343.89993364646,0
47,109555,Williams,647,Germany,Female,41,7,155680.86505653706,3,1,1,118024.50940495855,0
48,106235,Smith,567,France,Male,35,5,172392.14916313777,4,1,0,24439.59777244408,0
49,105486,Davis,589,Germany,Male,32,0,5733.769996224197,4,1,1,25170.62729731299,0
50,107099,Miller,591,France,Female,25,8,152276.07389093743,3,0,0,175418.06208996876,0
51,109670,Smith,545,France,Female,38,10,36156.32924011798,4,0,1,107111.10380884825,0
52,100775,Jones,728,Germany,Male,36,1,14829.240374447167,2,1,1,32110.44588476968,0
53,108226,Jones,702,Spain,Female,59,3,73792.89059805073,1,1,1,25693.39905709216,0
54,103152,Brown,483,France,Male,25,8,84487.09848630386,1,1,1,184831.9388924317,0
55,101585,Williams,567,Germany,Male,31,7,66321.91638493056,1,1,1,43721.35909652216,0
56,103943,Brown,540,Spain,Female,58,7,105780.90158037574,1,0,1,92902.79976853078,0
57,107555,Miller,681,Spain,Male,31,3,125252.9954424195,1,1,1,159042.35595291868,0
58,103073,Williams,757,France,Female,28,0,14747.17410448357,1,1,0,174968.39217894812,0
59,101021,Garcia,694,Germany,Female,45,9,95952.19884508933,3,1,1,174428.5290642219,0
60,103843,Smith,579,France,Female,41,3,5599.055362075537,3,1,1,178025.53434370842,1
61,107989,Brown,618,Spain,Female,34,2,59559.35963387283,1,0,0,39904.64463183044,0
62,109692,Jones,510,France,Male,40,10,10541.560659846653,1,1,1,92274.57755548808,1
63,106873,Brown,518,Spain,Female,46,2,59713.83487230681,4,1,0,135938.42565792985,0
64,105675,Garcia,734,Spain,Female,41,0,19290.92486536315,4,1,1,181380.34897201826,0
65,100161,Brown,794,Spain,Female,47,8,132587.78560397515,4,1,0,92282.90294793747,1
66,104297,Smith,578,Spain,Male,36,2,229840.07448132485,1,1,1,128618.77647334899,0
67,100995,Garcia,654,France,Female,23,3,18577.553802943225,4,1,1,192423.89711382883,0
68,107629,Davis,722,France,Male,47,0,133429.5134152142,1,1,0,193245.10482929208,0
69,109467,Davis,483,Germany,Male,34,2,15800.573502928852,3,1,0,137157.78021701676,0
70,101016,Davis,545,Germany,Male,34,0,56866.45147751419,2,1,0,106380.35247306833,1
71,107869,Jones,849,France,Male,50,3,98225.60191814763,3,1,0,119441.04665576985,0
72,106439,Jones,554,France,Female,63,9,77159.7917830047,1,1,0,181381.40111903413,1
73,107892,Davis,613,Spain,Female,18,6,5885.001367819911,1,0,1,142194.7185034871,0
