RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ChurnProbability,ChurnPrediction,RiskLevel
1,107270,Smith,575,France,Male,46,9,"14512,6931452790",3,0,1,"194493,8010566327",1,"0,4228746325",0,Medium Risk
2,100860,Miller,715,France,Female,42,4,"88412,2642100923",4,0,0,"88961,1697586316",0,"0,4147271320",0,Medium Risk
3,105390,Smith,788,Spain,Female,23,8,"85935,6220683318",4,1,1,"153296,7953241698",0,"0,0083676898",0,Low Risk
4,105191,Smith,670,France,Male,32,0,"67493,7099537646",3,1,1,"147917,7180808667",0,"0,0647999314",0,Low Risk
5,105734,Smith,738,Germany,Male,47,8,"92565,9798729169",1,0,1,"87276,7825484474",0,"0,7108594141",1,High Risk
6,106265,Miller,658,Germany,Male,49,9,"370157,2345764797",2,0,1,"97018,1075806662",1,"0,6843099315",1,High Risk
7,100466,Garcia,662,France,Female,27,4,"48333,5774392743",3,1,1,"128558,1165021231",0,"0,0226854193",0,Low Risk
8,104426,Miller,586,France,Male,53,1,"54952,2545626669",4,0,0,"44384,0539427679",1,"0,8318344279",1,High Risk
9,105578,Garcia,842,Germany,Male,31,5,"32024,3772249897",3,1,1,"107033,4509092532",0,"0,0777246075",0,Low Risk
10,108322,Miller,724,Germany,Female,43,0,"20389,8344665316",3,1,0,"74845,7049625267",0,"0,6392261776",1,High Risk
11,101685,Miller,702,Spain,Female,41,6,"34134,6173501075",2,1,0,"27447,2869518833",0,"0,6034372117",1,High Risk
12,100769,Johnson,727,Spain,Male,25,6,"23906,7264538393",2,1,1,"49358,5066935446",0,"0,0232746594",0,Low Risk
13,106949,Garcia,582,France,Male,34,9,"56646,0111063582",3,1,1,"106072,8302107084",0,"0,1094507644",0,Low Risk
14,102433,Johnson,743,Germany,Male,18,7,"26567,7347514781",3,0,0,"182593,1629827206",0,"0,0119768655",0,Low Risk
15,105311,Jones,805,France,Male,33,0,"72846,0458630505",2,1,1,"173737,4793423440",0,"0,1087705552",0,Low Risk
16,105051,Johnson,511,Germany,Female,57,1,"33730,6776628904",2,0,0,"184483,6355492694",1,"0,9635084522",1,High Risk
17,106420,Smith,704,France,Male,18,10,"55282,5753498416",1,1,1,"57641,4678511975",0,"0,0072937598",0,Low Risk
18,101184,Williams,656,Germany,Female,25,0,"13841,0182097344",1,0,1,"167359,9597692324",0,"0,0331840811",0,Low Risk
19,104555,Williams,598,Germany,Female,32,7,"17906,9097290971",1,1,1,"76296,3426952724",0,"0,1834071443",0,Low Risk
20,103385,Brown,540,Germany,Male,18,7,"95221,9426856219",1,1,1,"192884,0194566919",0,"0,0081238790",0,Low Risk
